Movie Title,IMDB_Score,IMDB_Votes
Coming Soon,7.5,33714.0
The Midas Touch,5.0,183.0
Refugiado,6.4,365.0
Ralphie May: Imperfectly Yours,5.4,150.0
Wedding Association,7.1,22186.0
Heritages,7.3,130.0
Race 2,5.3,16302.0
Madras Cafe,7.7,24319.0
Deliha,4.5,4315.0
Confusion Na Wa,7.0,38.0
Saheb Biwi Aur Gangster Returns,6.7,3978.0
Ungli,5.8,3888.0
Chashme Baddoor,5.4,5121.0
SampleThis,6.4,466.0
The War Against Women,7.3,74.0
Ghadi,7.3,1128.0
Eyes of a Thief,6.6,443.0
October 1,6.4,424.0
Mars at Sunrise,7.8,43.0
Satyagraha,5.9,5127.0
Bhaji in Problem,7.3,1007.0
Pagpag: Nine Lives,5.5,313.0
Blind Intersections,6.7,172.0
100 Things to Do Before High School,,
Trailer Park Boys: Live at the North Pole,6.7,1091.0
Must Be... Love,6.4,522.0
She's The One,6.3,205.0
Trailer Park Boys - Live in F**kin' Dublin,6.2,1548.0
SDU: Sex Duties Unit,5.9,479.0
Theeya Velai Seiyyanum Kumaru,5.1,28.0
Settai,4.5,515.0
Raja Natwarlal,6.1,4280.0
Chhota Bheem in the Incan Adventure,7.4,31.0
Anjaan,5.3,5018.0
Cold Harbour,5.2,211.0
Himmatwala,1.7,8550.0
Na Bangaaru Talli,7.2,160.0
What the Fish,5.2,210.0
My Own Man,6.4,445.0
One by Two,3.9,745.0
The Land of Cards,5.6,407.0
Starting Over Again,8.3,15.0
It Takes a Man and a Woman,6.7,362.0
Chelsea Handler: Uganda Be Kidding Me Live,5.8,1165.0
Wyatt Cenac: Brooklyn,6.3,228.0
Xenos,7.8,
Seven Souls in the Skull Castle,7.3,47.0
D.L. Hughley: Clear,6.9,249.0
Giraffada,6.3,234.0
Bobby Jasoos,5.5,2310.0
Grandmother's Farm,2.9,74.0
Anaamika,5.5,260.0
Mumbai Delhi Mumbai,5.7,354.0
Motu Patlu: Deep Sea Adventure,,
A Place in the Stars,6.2,19.0
That Thing Called Tadhana,7.4,1050.0
Gori Tere Pyaar Mein,4.9,3838.0
Condom Lead,,
She's Dating the Gangster,7.0,1079.0
Deewana Main Deewana,2.6,374.0
Sommore: Chandelier Status,6.6,95.0
E-Team,7.1,873.0
The Royal Bengal Tiger,6.9,874.0
Chhota Bheem & Krishna vs Zimbara,8.6,13.0
Gollu Aur Pappu,3.8,118.0
Todd Glass Talks About Stuff,,
The Amazing Praybeyt Benjamin,4.0,195.0
Diamonds in the Sky,7.4,10.0
Chhota Bheem Neeli Pahaadi,8.5,9.0
Doctor Bello,4.8,54.0
Chhota Bheem Aur Hanuman,7.1,33.0
Chhota Bheem and the ShiNobi Secret,8.6,6.0
Sigaram Thodu,6.1,458.0
Flower Girl,6.0,108.0
Chhota Bheem Dus pe Dus,5.1,23.0
Chhota Bheem the Crown of Valhalla,8.1,14.0
Hunt for the Wilderpeople,7.8,125720.0
Hell or High Water,7.6,224900.0
It Follows,6.8,233165.0
Raw,7.0,72460.0
Kung Fu Panda 3,7.1,152791.0
Ouija: Origin of Evil,5.3,6.0
Nocturnal Animals,7.5,264884.0
The Gift,7.1,151679.0
War Dogs,7.1,208185.0
Blackhat,5.4,58192.0
The Hateful Eight,7.8,570138.0
Crimson Peak,6.5,143899.0
Tangerine,7.1,31385.0
Legend,6.9,175273.0
"Hail, Caesar!",6.3,132821.0
The Edge of Seventeen,7.3,120488.0
Steve Jobs,7.2,166288.0
A Silent Voice: The Movie,8.1,75132.0
London Has Fallen,5.9,155997.0
Mr. Right,6.3,55118.0
Chappie,6.8,247192.0
Christine,6.9,14977.0
Bāhubali: The Beginning,8.0,117333.0
Hush,6.6,123667.0
The Conjuring 2,7.3,260693.0
Gantz:O,7.1,14501.0
Unfriended,5.5,73854.0
In a Valley of Violence,6.0,18452.0
"Hello, My Name Is Doris",6.6,20377.0
A Monster Calls,7.5,86614.0
Under the Shadow,6.8,27125.0
Loving,7.0,34139.0
The Danish Girl,7.1,180805.0
He Never Died,6.4,19936.0
Home,6.6,100705.0
Before I Wake,6.2,45243.0
