Show_ID,Movie Title,Director,Country,Release_Year,Rating_class,Duration,Categories,Type,IMDB_Score,IMDB_Votes
s262,The Secret Diary of an Exchange Student,Bruno Garotti,,2021,TV-14,97,"Comedies, International Movies, Romantic Movies",Movie,5.3,868.0
s265,Walk of Shame,Steve Brill,United States,2014,R,94,"Comedies, Independent Movies",Movie,6.0,54065.0
s269,Unroyal,Moses Inwang,,2020,TV-MA,97,"Dramas, International Movies",Movie,,
s271,Beckett,Ferdinando Cito Filomarino,"Italy, Brazil, Greece",2021,TV-MA,110,Action & Adventure,Movie,5.6,25253.0
s279,Lokillo: Nothing's the Same,Julián Gaviria,Colombia,2021,TV-MA,64,Stand-Up Comedy,Movie,4.6,51.0
s280,Monster Hunter: Legends of the Guild,Steven Yamamoto,"United States, Japan",2021,TV-PG,59,"Action & Adventure, Anime Features, Children & Family Movies",Movie,,
s282,Brother Jekwu,Charles Uwagbai,Nigeria,2016,TV-14,101,"Comedies, International Movies",Movie,,
s284,Misha and the Wolves,Sam Hobkinson,"Belgium, United Kingdom",2021,PG-13,90,"Documentaries, International Movies",Movie,6.7,2303.0
s285,The Kissing Booth 3,Vince Marcello,"United Kingdom, United States",2021,TV-14,114,"Comedies, Romantic Movies",Movie,4.7,15536.0
s286,The Railway Man,Jonathan Teplitzky,"Switzerland, United Kingdom, Australia",2013,R,108,"Dramas, International Movies",Movie,7.1,39743.0
s291,Untold: Malice at the Palace,Floyd Russ,United States,2021,TV-MA,70,"Documentaries, Sports Movies",Movie,7.5,7532.0
s293,Quartet,Dustin Hoffman,United Kingdom,2012,PG-13,98,"Comedies, Dramas, Independent Movies",Movie,6.8,20194.0
s294,Slay,Adze Ugah,South Africa,2021,TV-MA,86,"Comedies, International Movies, Romantic Movies",Movie,3.3,101.0
s296,The Paper Tigers,Quoc Bao Tran,United States,2021,PG-13,111,"Action & Adventure, Comedies",Movie,6.3,4144.0
s299,Quam's Money,Kayode Kasum,Nigeria,2020,TV-MA,115,"Comedies, Dramas, International Movies",Movie,,
s300,The Swarm,Just Philippot,France,2021,TV-14,102,"Horror Movies, Independent Movies, International Movies",Movie,5.3,6710.0
s301,Vivo,"Kirk DeMicco, Brandon Jeffords","Canada, United States",2021,PG,100,"Children & Family Movies, Music & Musicals",Movie,6.7,17650.0
s302,Chennai Express,Rohit Shetty,India,2013,TV-14,135,"Action & Adventure, Comedies, International Movies",Movie,6.1,53293.0
s303,City of God: 10 Years Later,"Cavi Borges, Luciano Vidigal",Brazil,2013,TV-MA,69,"Documentaries, International Movies",Movie,6.4,1299.0
s305,Lady Boss: The Jackie Collins Story,Laura Fairrie,United Kingdom,2021,TV-14,97,Documentaries,Movie,6.8,383.0
s307,'76,Izu Ojukwu,Nigeria,2016,TV-PG,118,"Dramas, International Movies",Movie,5.6,220.0
s308,Aftermath,Peter Winther,United States,2021,TV-MA,115,Horror Movies,Movie,5.3,15125.0
s318,Pray Away,Kristine Stolakis,United States,2021,PG-13,102,"Documentaries, LGBTQ Movies",Movie,6.5,2714.0
s319,Shiny_Flakes: The Teenage Drug Lord,"Eva Müller, Michael Schmitt",,2021,TV-MA,97,"Documentaries, International Movies",Movie,7.3,4529.0
s335,Five Feet Apart,Justin Baldoni,United States,2019,PG-13,116,"Dramas, Romantic Movies",Movie,7.2,61878.0
s346,Open Season: Scared Silly,David Feiss,"United States, Canada",2015,PG,85,"Children & Family Movies, Comedies",Movie,,
s349,Poms,Zara Hayes,"United Kingdom, United States",2019,PG-13,91,Comedies,Movie,6.0,6085.0
s353,The Edge of Seventeen,Kelly Fremon Craig,"United States, China",2016,R,105,"Comedies, Dramas",Movie,7.3,120488.0
s354,The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,United States,2013,R,101,Horror Movies,Movie,5.2,17170.0
s363,The Lost Café,Kenneth Gyang,,2018,TV-14,76,"Dramas, International Movies",Movie,6.4,24.0
s364,The Vault,Jaume Balagueró,,2021,R,118,"Action & Adventure, International Movies, Thrillers",Movie,6.4,21511.0
s366,Eyes of a Thief,Najwa Najjar,", France, Algeria",2014,TV-14,103,"Dramas, Independent Movies, International Movies",Movie,6.6,443.0
s368,I'm Glad I Did,Selçuk Metin,,2020,TV-14,114,"Documentaries, International Movies",Movie,8.4,1387.0
s373,Rurouni Kenshin: The Beginning,Keishi Otomo,,2021,TV-MA,138,"Action & Adventure, International Movies",Movie,7.4,7958.0
s374,The Last Mercenary,David Charhon,,2021,TV-MA,112,"Action & Adventure, Comedies, International Movies",Movie,5.3,8276.0
s375,Flower Girl,Michelle Bello,Nigeria,2013,TV-PG,94,"Comedies, International Movies, Romantic Movies",Movie,6.0,108.0
s376,Resort to Love,Steven Tsuchida,,2021,TV-14,102,"Comedies, Romantic Movies",Movie,5.7,5586.0
s378,Bartkowiak,Daniel Markowicz,Poland,2021,TV-MA,92,"Action & Adventure, International Movies",Movie,5.1,1165.0
s379,Fantastic Fungi,Louie Schwartzberg,United States,2019,TV-14,81,Documentaries,Movie,7.4,7890.0
s384,Department,Ram Gopal Varma,India,2012,TV-MA,143,"Action & Adventure, International Movies",Movie,3.2,1049.0
s385,Hostage House,David Benullo,,2021,TV-14,86,Thrillers,Movie,3.9,826.0
